번호,운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,문의처,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
11,이우장학회,기초과학분야장학생,민간(기타),장학금,지역연고, - 053-668-5572,"4년제(5~6년제포함),특정대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,자연계열,특정학과"," - 4.5 만점 기준 3.0 이상, 4.3 만점 기준 2.8 이상, 4.0 만점 기준 2.5 이상",, - 10000000원," - 서울대학교, 고려대학교, 연세대학교, 이화여자대학교, 경북대학교, 영남대학교, 계명대학교 재학생 중 전공과목이 기초과학 분야인 대학생 ※ 기초과학 : 수학, 물리학, 화학, 생명과학, 지구과학(대기/해양/천문)"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2018-11-19~2018-12-21까지,,, - 2019년 2월 대학 졸업예정자 제외 - 장학생 선발년도에 만 30세 이상이 되는 자 제외 - 대학원생 제외," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍/면장 추천 (장학생이 타 읍/면일 경우)"," - 장학생 선발 신청서 - 재학증명서(복학증명서) - 학교장(대학총장) 추천서 - 장학생이 타 읍 면일 경우 읍면장 추천서 - 본인과 부모(조부모) 주민등록표 초본 각 1부(거주기간 확인용)   * 거주기간은 본인과 부모 기준(부모가 생존하지 않을 경우만 조부모 기간 적용) - 가족관계증명서(등록기준지가 가창면인 경우 및 다가구 자녀 확인용)   * 등록기준지가 가창면인 경우 또는 다가구 자녀일 경우만 발급 - 성적증명서(학교장 발행) - 본인과 부모(부모가 사망시에는 조부모)의 최근 1년간 세목별 지방세 과세 증명서(건물, 토지, 자동차에 관한 재산세) - 본인과 부모 中 장애인 증명서(1급~3급, 해당시) - 개인(신용)정보 수집,이용,제공 및 조회 동의서"
12,이우장학회,체육특기자,민간(기타),장학금,특기자, - 053-668-5572,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 4년제 5000000원 - 2~3년제 2000000원," - 체육특기자: 육상, 구기, 수영, 빙상, 체조 - 시/도단위 대회에서 1위 이거나 전국대회에서 3위 이내의 입상 또는 국가대표로 선발된 실적이 있는 자"," - 부모,조부모 혹은 본인이 가창면에 2년 이상 계속하여 주민등록을 두고 거주하고 있는 자(단 타 읍면 학생은 달성군에 주민등록을 두고 2년 이상 계속 거주자) ", - 2018-11-19~2018-12-21까지,,, - 2019년 2월 대학 졸업예정자 제외 - 장학생 선발년도에 만 30세 이상이 되는 자 제외 - 대학원생 제외," - 대학총장(재학생), 학교장(신입생)추천 - 관할 읍/면장 추천 (장학생이 타 읍/면일 경우)"," - 장학생 선발 신청서 - 재학증명서(복학증명서) - 학교장(대학총장) 추천서 - 장학생이 타 읍 면일 경우 읍면장 추천서 - 본인과 부모(조부모) 주민등록표 초본 각 1부(거주기간 확인용)    * 거주기간은 본인과 부모 기준(부모가 생존하지 않을 경우만 조부모 기간 적용) - 가족관계증명서(등록기준지가 가창면인 경우 및 다가구 자녀 확인용)   * 등록기준지가 가창면인 경우 또는 다가구 자녀일 경우만 발급 - 성적증명서(학교장 발행) - 체육 특기자 입증서류 (경기실적, 선수등록, 경기출전 증명서 각1부) - 본인과 부모(부모가 사망시에는 조부모)의 최근 1년간 세목별 지방세 과세 증명서(건물, 토지, 자동차에 관한 재산세) - 본인과 부모 中 장애인 증명서(1급~3급, 해당시) - 개인(신용)정보 수집,이용,제공 및 조회 동의서"
13,우리다문화장학재단,학업장학,민간(기업),장학금,기타, - 우리다문화장학재단 사무국 02-2125-2123,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 2020년 기준 중위소득 100% 이하인 가구," - 1인당 4,000,000원(2회 분할지급)"," - 다문화가족 자녀 - 국내 2,3,4년제 대학교 재학생 - 졸업까지 1학기 이상 남아야 함 (정규학기 12학점 이상) ",, - 2020-05-06 ~ 2020-05-22 17:00까지 ※ 우편서류 25일 발송분까지 인정, - 서류평가 - 역량평가 - 면담평가(필요시) - 최종심의, - 30명," - 휴학생 및 휴학 예정자, 외국인, 북한이탈주민 지원불가 - 특기장학과 중복지원 불가능"," - 소속대학 지도교수 및 학과장, 다문화 및 사회 복지기관장, 지자체 및 주민센터장", - 재학증명서 - 성적증명서(신입생 제외) - 장학생 추천서 - 주민등록등본  - 가족관계증명서 - 다문화 학생임을 입증할 수 있는 서류 1부 - 법정 저소득 증빙서류 - 차상위 본인부담경감대상자 증명서(해당자) - 건강보험자격확인서(해당자) - 2020년 1월~3월 건강보험료 납부확인서(해당자) - 자원봉사활동 실적확인서(해당자) - 수상 실적 자료(해당자) * 자세한 사항은 첨부자료 참고
14,우리다문화장학재단,특기장학,민간(기업),장학금,특기자, - 우리다문화재단 사무국 02-2125-2124,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1인당 5,000.000원"," - 특기 및 재능보유 다문화가족 자녀(8세~25세:1996년생~2013년생) - 예·체능 및 어학 특기자, 자격·기술보유자, 직업·진로 특기자 등 - 최근 2년 이내 대회 입상 실적 또는 경력 관련 포트폴리오 제출이 가능해야 함 (대학재학여부 관계없음. 졸업생 및 학교 밖 청소년 신청 가능)",, - 2020-05-06 ~ 2020-05-22 17:00까지 * 서류발송은 2020-05-25 발송분까지 인정, - 서류평가 - 역량평가 - 면담평가(필요시) - 최종심의, - 30명, - 학업장학과 중복지원 불가ㅓ," - 소속학교 총장(지도교수 및 학과장 포함), 특기·재능 관련 전문기관장, 지자체 및 주민센터장, 다문화 및 사회복지기관장"," - 재학증명서 또는 졸업증명서 또는 재직증명서 또는 경력증명서 - 장학생 추천서 - 주민등록등본 - 가족관계증명서 - 다문화 학생임을 입증할 수 있는 서류 - 법정 저소득 증빙서류(해당자) - 차상위 본인부담경감대상자 증명서(해당자) - 건강보험자격확인서(해당자) - 2020년 1월~3월 건강보험료 납부확인서(해당자) - 자원봉사활동 실적확인서(해당자) - 수상 실적 자료 또는 경력관련 포트폴리오 [필수] (수상확인서, 상장 사본, 관련기사 스크랩 등)"
15,지헌장학재단,장학생,민간(기타),장학금,기타, - 02-497-6000 ,"4년제(5~6년제포함),전문대(2~3년제)","대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상",예체능계열," - 성적이 우수한자 (최근1년 평균성적 B+ 이상, 3.5/4.5, 3.3/4.3, 3.1/4.0 이상)", - 부모 또는 보호자의 년소득액이 6천만원 이하인자," - 학기당 1,000,000원 - 본 장학금은 학자금+디자인재료비로 타 장학금과 이중 수혜가능 * 기 장학생 지원 시 장학금 수혜학기 포함 최근 2학기 평균성적 4.0/4.5 상회 시 졸업까지 최대 4학기 수혜가능하며, 성적요건 미 충족 시 신규 지원자와 동일한 기준으로 재 평가하여 선발"," - 4년제 대학교 또는 2~3년제 전문대학 시각디자인, 판화전공자  (1개교 2명이내, 단 2명 추첨 시 남·녀는 각1 명씩으로 함)",, - 2020-03-16(월) ~ 2020-04-03(금), - 1차 서류전형 - 2차 면접전형 (필요시), -44명 내외," - 기업체 학술연수 및 입사 조건부 장학금을 받는 자 - 장학금을 수령한 학기에는 휴학을 할 수 없으며, 휴학의 경우 장학금을 반환해야 함"," - 학과장 추천   (1개교 2명 이내, 단 2명 추천시 남·녀 각 1명)"," - 추천서 (소정양식) - 장학생 선발원서 - 보호자 생활현황 - 추천서 (단, 기존장학생의 경우 미 제출 가능) - 자기소개 및 학업계획서 - 성적증명서 (2019-2학기 포함한 전학년 성적증명서, 복학생은 전학년 성적증명서) - 입상증명서 1점 이내 (시각디자인 공모전에 한하며, 발급처와 연락처 표기) - 주민등록등본  - 부/모 또는 보호자 각각의 소득금액증명원 (2018년도 분) * 소득이 없어도 보호자 각각의 증명서(사실확인서)는 반드시 제출 - 통장사본(본인 또는 보호자) * 우편접수, 방문제출 * 제출처 : 서울시 성동구 자동차시장 1길 6 * 자세한 사항은 첨부자료 참고"
16,풍육장학회,풍육장학생,민간(기타),장학금,기타, - 042-472-6432,"4년제(5~6년제포함),해외대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 성적이 우수한 자.,,, - 풍양조씨 인 자 -  행실이 바른 정규 4년제 대학 신입생 및 재학생 - 해외 유학생,, - 2020-01-22 ~ 2020-02-14,, - 00명, -  1세대 1자녀 원칙. - 타처에서 장학금을 받고 있는 학생은 신청 불가능 - 수능성적이 없이 수시전형에 합격한 자는 신청할 수 없음.(진학한 후에 대학성적으로 신청해야함) -  한번 수혜 받은 학생은 재신청 불가 -  전문대/대학원생 제외  * 이 외 자세한 사항은 첨부파일 참고,," - 장학금 수혜원서(본회 소정양식) 1통 * 이 장학금 수혜원서는 풍양조씨종보(제45호)에 수록된 양식 사용할 것 - 성적증명서 (재적학교 발행) *신입생 : 수능시험성적통지표, 대학합격통지표 각1통 * 재학생 : 소속대학의 성적증명서, 재학증명서 각 1통 - 가족관계쯩명서 (동, 읍, 면사무소 발행) 1통(해당자에 한함) - 소속학교와 자신에 관한 소개서(해외 유학생의 경우) 1통"
17,하영호장학재단,장학생,민간(기타),장학금,기타, - 02-935-1999,4년제(5~6년제포함),"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 12학점 이상에 3.0이상, - 기초수급 대상자 및 차상위권 대상자," - 학기당 1,500,000원(1인기준)", - 수도권 내 4년제 대학교에 재학중인 1학년~3학년 학생 ,, - 2020-02-10 ~ 2020-02-18, - 1차 서류 - 2차 면접( 1차 합격자에 한 함),, - 지방대 해외학생 - 타장학금 수혜자의 경우 등록금 범위를 초과하지 않아야 함,," - 자기소개서 - 장학금 신청 사유서 - 성적증명서 - 교수추천서 - 건강보험 증명서 - 재산증명서 - 주민등록등본 각 1부 * 홈페이지 장학금 자격심사요청서에서 온라인상 접수 또는 우편,메일 접수"
18,청양사랑인재육성장학회,명문대입학장학금,지자체,장학금,지역연고, - 041-940-2858,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", * 신입생 - 명문대 입학한 자 - 수능합 7등급 이내인자 ,," - 신입생: 5,000,000원 ~ 10,000,000원 (생활비)"," - 관내 중학교와 고등학교를 졸업하고 명문대에 입학한 자* 명문대 : 서울대,고려대,연세대,카이스트,포항공대,치의한의대,수능합 7등급 이내인 자(고려대, 연세대는 지방캠퍼스 제외)", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",," * 신입생  - 중학교, 고등학교 졸업증명서 - 장학금 지원 신청서 - 개인정보 동의서 - 재학증명서 - 주민등록등본(주소이력포함)  * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부   **자세한 사항은 첨부자료 확인인"
19,청양사랑인재육성장학회,충남도립대장학금,지자체,장학금,지역연고, - 041-940-2858,특정대학,"대학신입생,연령제한","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 충남도립대학교 입학생,," - 1,000,000원 (생활비)", - 관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자 - 2020년도 신입생, - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 공고일 현재 만 25세 이상인 자 제외",," - 장학금지원신청서 - 개인정보동의서 - 재학증명서 - 주민등록등본(주소이력포함) - 졸업증명서(중,고등학교) * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함) 첨부"
20,청양사랑인재육성장학회,성적우수장학금(대학교신입생),지자체,장학금,지역연고, - 041-940-2858,4년제(5~6년제포함),대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 군내 고등학교 1,2,3학년을 재학하고 졸업한자 중, 직전학년 과목별 성적이 '미'이상 (등급점수 5등급 이내)인자",," - 1,500,000원 (등록금)"," - 군내 고등학교 1,2,3학년을 재학하고 졸업한 자 - 대학교 신입생", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 - 서약서 * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
21,청양사랑인재육성장학회,성적우수장학금(군내대학재학생),지자체,장학금,지역연고, - 041-940-2858,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전 학년 평점이 3.5 이상인자.(4.5점 만점기준),, - 1500000원 (등록금)," - 군내 대학 재학생 (충남도립대학교) - 군내고교 1,2,3학년 모두 재학 후 졸업한자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 서약서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 * 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
22,청양사랑인재육성장학회,성적우수장학금(군외대학재학생),지자체,장학금,지역연고, - 041-940-2858,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전 학년 평점이 3.5 이상인자.(4.5점 만점기준),," - 1,500,000원 (등록금)"," - 군내 고등학교 1,2,3학년 모두 재학 후 졸업한 자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",," - 장학금지원신청서 - 개인정보동의서 - 군내 고등학교 졸업증명서, 재학증명서 - 서약서 - 재학증명서 - 성적증명서(직전학년) - 주민등록등본(주소이력포함) - 장학금 비수혜 확인서 - 부모만 군내 거주하는 경우 가족관계증명서와 부모의 주민등록등본(주소이력 포함)첨부"
23,청양사랑인재육성장학회,예체능장학금,지자체,장학금,특기자, - 041-940-2858,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1,500,000원 (생활비)"," - 군내 초, 중, 고, 대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외,중, 고, 대학생중 직전학년 예, 체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자", - 장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자, - 2020-02-24 ~ 2020-03-16, - '재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발,," - 1가구에 2명 이상 수혜자로 선정될 경우 1명만 지급 (성적우수 장학금에 한함) - 신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단, 신청접수 마감일까지 복학한 자는 예외로 한다) - 다른 장학금과 중복될 경우 제한될 수 있음 - 기타 장학위원회 결정에 따른다",, - 장학금지원신청서 - 개인정보동의서 - 재학증명서 - 주민등록등본(주소이력포함) - 입상증명서류 * 군외 대학생 추가 제출서류 - 군내 초/중/고 중 졸업증명서 1개
24,봉평태기장학회,일반장학생,민간(기타),장학금,지역연고, - 봉평면사무소 총무과,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 대학교 재학생은 前학기 평균성적이 90점(백분율 환산점수) 이상 - 대학교 신입생은 수학능력점수 90점(백분율 환산점수) 이상,, - 대학(전문대) 1000000원 - 국/사립대 1500000원 내외," - 대학교 재학생, 신입생"," - 2019. 06. 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어있는 자 - 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면내에 3년 이상 거주하고 있는 자 * 단, 본적이 타 지역인자는 5년이상 거주", - 2019-06-30~2019-07-15," - 예산범위내 성적순 선발, 장학이사회 심의 후 개별통보 예정",," - 학자금 면제자, 타장학금 수혜대상 확정자, 공무원자녀인 고등학생.",," - 장학생 지원서 (소정양식, 봉평면사무소 비치), (반명함사진) - 성적증명서 (학교장발행) - 장학금 미수혜확인서 (학교장 발행) - 가족관계등록부, 주민등록 등/초본(주소이력 공개) * 봉평면사무소 총무과 제출 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
25,봉평태기장학회,향토장학생,민간(기타),장학금,지역연고, - 봉평면사무소 총무과 봉평태기장학회 담당,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 대학교 재학생은 前학기 성적이 85점(백분율 환산점수) 이상 - 대학교 신입생은 수학능력점수 85점(백분율 환산점수) 이상," * 보호자의 재산세(재산세, 도시계획세, 소방공동시설세, 지방교육세) 세액 10000원 미만 및 종합토지세 5,000원 이하", - 대학(전문대) 1000000원 - 국/사립대 1500000원 내외," - 차상위계층/수급자 우선, 가정 형편이 어려운 학생 - 대학교 재학생/신입생"," - 2019. 06. 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어있는 자 - 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면내에 3년이상 거주하고 있는 자  * 단, 본적이 타 지역인자는 5년이상 거주",- 2019-06-30~2019-07-15," - 예산범위내 성적순 선발, 장학이사회 심의후 개별통보예정",," - 학자금 면제자, 타장학금 수혜대상 확정자, 공무원자녀인 고등학생",," - 장학생 지원서 (소정양식, 봉평면사무소 비치), (반명함사진) - 성적증명서(학교장발행) - 장학금 미수혜 확인서 (학교장발행) - 보호자의 지방세과세증명서  - 가족관계등록부, 주민등록 등/초본 각 1부(주소이력 공개) * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
26,양양군인재육성장학회,특별장학생,지자체,장학금,지역연고, - (재)양양군인재육성장학회 033) 670-2767 및 읍/면사무소,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 10이내 또는 대학수학능력시험 3개영역 언어, 수리, 외국어 종합등급 2등급 이내인 자 -  재학생 : 직전학기 성적이 평균 B학점이상인자",," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써, 중복지원 범위에서 제외"," - 서울대, 연세대,고려대,카이스트대,포스텍대 재학생", - 양양군 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생, - 2020-01-15 ~ 2020-02-14,, - 이사회에서 결정, - 공무원 자녀(고등학생) 및 공공기관 등 학비전액 지원자 제외,," - 장학생 신청서 1부. - 재학증명서(신입생은 합격증명서) 1부. - 졸업증명서(양양군 관내 중, 고등학교 졸업증명서) 1부. - 주민등록등본 (주소변동사항 포함) 1부. - 성적증명서 (재학생은 직전학년, 신입생은 고등학교 3학년 성적증명서) 1부. - 재산세 과세, 미과세 증명서 1부. - 전/월세 계약서(해당자만 제출)1부. - 국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류*접수처 : 양양군인재육성장학회 및 읍,면사무소"
27,양양군인재육성장학회,우등장학생,지자체,장학금,지역연고, - (재)양양군인재육성장학회 033) 670-2767 및 읍/면사무소,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 20이내 또는 대학수학능력시험 3개영역 언어, 수리, 외국어 종합등급 2등급 이내인 자 -재학생 : 평점 평균이 B학점 이상 (단, *서울대,연/고대,카이스트대,포스텍대 학생은 C학점 이상인 자",," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써, 중복지원 범위에서 제외",, - 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생, - 2020-01-15 ~ 2020-02-14,, - 이사회에서 결정,,," - 장학생 신청서 1부. - 재학증명서(신입생은 합격증명서) 1부. - 졸업증명서(양양군 관내 중, 고등학교 졸업증명서) 1부. - 주민등록등본 (주소변동사항 포함) 1부. - 성적증명서 (재학생은 직전학년, 신입생은 고등학교 3학년 성적증명서) 1부. - 세목별 과세 증명서 - 전/월세 계약서(해당자만 제출)1부. - 국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류*접수처 : 양양군인재육성장학회 및 읍,면사무소"
28,양양군인재육성장학회,유공및저소득층자녀장학생,지자체,장학금,지역연고, - (재)양양군인재육성장학회 033) 670-2767 및 읍/면사무소,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 30이내 또는 대학수학능력시럼 3개영역 언어, 수리, 외국어 종합등급 3등급이내인 자  - 재학생 : 평점 평균이 B학점 이상", - 국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀," * (재)양양군인재육성장학회에서 지급하는 장학금은 ‘생활비’ 지원명목의 장학금으로써, 이중지원 범위에서 제외됨을 알려드립니다.", - 국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀, - 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생, - 2020-01-15 ~ 2020-02-14,, - 이사회에서 결정,,," - 장학생 신청서 1부. - 재학증명서(신입생은 합격증명서) 1부. - 졸업증명서(양양군 관내 중, 고등학교 졸업증명서) 1부. - 주민등록등본 (주소변동사항 포함) 1부. - 성적증명서 (재학생은 직전학년, 신입생은 고등학교 3학년 성적증명서) 1부. - 재산세 과세, 미과세 증명서 1부. - 전/월세 계약서(해당자만 제출)1부. - 국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 * 접수처 : 양양군인재육성장학회 및 읍,면사무소"
